Commune;Code département;DMAJ;INSEE;Région;Département;Commune 1;Appellation courante;Adresse 1;Siècle;Date de protection;Précision protection;Auteur;Statut;Description;Historique;Affectataire;Adresse;Précision Localisation;Référence;Contact;Longitude;Latitude;coordonnees
Steige;67;2022-07-20;67477;Grand Est;Bas-Rhin;Steige;Ancienne église paroissiale, ou chapelle du cimetière;Grand'Rue;"12e siècle;18e siècle";1935/04/25 : inscrit MH;L'église (cad. B 332) : inscription par arrêté du 6 juin 2014;;;;;;Grand'Rue ( );Anciennement région de : Alsace;PA00085008;mediatheque.patrimoine@culture.gouv.fr;;;
Sélestat;67;2022-07-20;67462;Grand Est;Bas-Rhin;Sélestat;Banc-reposoir dit banc du Roi de Rome;C.D. 21;1er quart 19e siècle;1982/10/20 : inscrit MH;Eglise de Trèves : classement par liste de 1862;;;;Initiative du Préfet Lezay-Marnesia.;;C.D. 21;Anciennement région de : Alsace;PA00084977;mediatheque.patrimoine@culture.gouv.fr;7.48554676499516;48.2635813225202;48.2635813225202,7.48554676499516
Haguenau;67;2022-07-20;67180;Grand Est;Bas-Rhin;Haguenau;Ancien grenier de l'Hôpital;2 rue de la Filatre;"1ère moitié 15e siècle;3e quart 18e siècle";1969/04/29 : inscrit MH;Eglise Saint-Pierre : classement par liste de 1840;;;;;;Filatre (rue de la) 2;Anciennement région de : Alsace;PA00084734;mediatheque.patrimoine@culture.gouv.fr;7.7869445208735;48.8190384974742;48.8190384974742,7.7869445208735
Andlau;67;2022-07-20;67010;Grand Est;Bas-Rhin;Andlau;Ancienne bonneterie Allenbach;11 rue de la Marne;milieu 19e siècle;1988/12/20 : inscrit MH;Chapelle Saint-Aurélien (cad. DY 35) : inscription par arrêté du 28 janvier 1943;;;;Fondée au milieu du 19e siècle par la famille Allenbach, cette usine de bonneterie, à l'origine hydraulique, fut précocement équipée d'une chaudière à vapeur dont la cheminée est de forme pyramidale. Souvent adoptée à la suite de la législation de 1820 sur les appareils à vapeur, cette forme imite le modèle adopté en Angleterre au 18e siècle. Cette cheminée en brique et à base de grès, haute d'environ 16, 50 mètres est accolée à l'atelier de fabrication principal. La manufacture comprend trois corps de bâtiments sur cour, avec un logement patronal. La fabrication a cessé en 1920.;;Marne (rue de la) 11;Anciennement région de : Alsace;PA00084584;mediatheque.patrimoine@culture.gouv.fr;7.42246262522949;48.3861649664361;48.3861649664361,7.42246262522949
Lochwiller;67;2022-07-20;67272;Grand Est;Bas-Rhin;Lochwiller;Eglise catholique Saint-Jacques-le-majeur;place de l'Eglise;1er quart 16e siècle;1935/04/25 : inscrit MH;Château en totalité (cad. BC 8) : inscription par arrêté du 14 septembre 2001;;;;;;Eglise (place de l');Anciennement région de : Alsace;PA00084778;mediatheque.patrimoine@culture.gouv.fr;7.41539469411619;48.6971693187862;48.6971693187862,7.41539469411619
Saint-Jean-Saverne;67;2022-07-20;67425;Grand Est;Bas-Rhin;Saint-Jean-Saverne;Site du Mont-Saint-Michel;;;1993/08/19 : inscrit MH;Le site archéologique situé aux lieux-dits Basse Melot (cad. 19 4) , Basse du Loup (cad. 19 5) , Schweinsbach (cad. 19 7) , Eugenthal (cad. 19 10) , et concernant le périmètre de l'ensemble du plateau ayant fait l'objet de fouilles archéologiques (y compris le chemin antique et le bâtiment 4) augmenté d'une zone de protection supplémentaire de 30 mètres de largeur, soit une zone de 25 000 m2 : inscription par arrêté du 11 septembre 2003;;;Site composé d'un rocher-promontoire creusé d'une grotte.;La chapelle a succédé à un ermitage attesté dès le 16e siècle.;;;Anciennement région de : Alsace;PA00125221;mediatheque.patrimoine@culture.gouv.fr;7.36383673633138;48.7759717439326;48.7759717439326,7.36383673633138
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Ancienne usine Junkers Flugzeug-und-Motorenwerke A.G.;33 rue du Maréchal-Lefebvre;2e quart 20e siècle;1993/01/14 : inscrit MH partiellement;L'église en totalité (cad. A 496) : inscription par arrêté du 5 septembre 2003;;;;Remontant à 1911, l'important site industriel de l'usine d'automobiles d'Emile Mathis, à Strasbourg-Meinau, est réquisitionné dès le début de la Deuxième Guerre mondiale par la firme Junkers, l'un des principaux constructeurs aéronautiques d'Allemagne. Pour la production et la révision de moteurs de bombardiers et d'avions de chasse, deux ensembles de Prüfstand (bancs d'essai) sont construits à partir de 1941, dessinés vraisemblablement par un ingénieur de Junkers au siège de la firme, à Dessau. Le bâtiment I, werk M, le seul achevé, survit aux bombardements de mai et août 1944, et les douze bancs d'essai, chacun comportant deux tours rectangulaires ouvertes, sont utilisés jusqu'en 1951 par l'Arsenal de l'aéronautique, basé à Châtillon-sous-Bagneux (92) , le reste de l'ancienne usine Mathis étant occupé par les automobiles Citroën. Le deuxième ensemble de bancs d'essai, demeuré inachevé, a été démoli, comme les deux tours de refroidissement qui complétaient l'installation. Les bancs d'essai subsistants sont occupés depuis 1978 par une entreprise de location d'engins de travaux publics.;;Maréchal-Lefebvre (rue du) 33;Anciennement région de : Alsace;PA00125228;mediatheque.patrimoine@culture.gouv.fr;7.73928335398984;48.5615987670318;48.5615987670318,7.73928335398984
Wimmenau;67;2022-07-20;67535;Grand Est;Bas-Rhin;Wimmenau;Eglise protestante;;"12e siècle;13e siècle;17e siècle;19e siècle";1995/12/07 : inscrit MH;Le bâtiment du moulin en totalité avec ses machines, les façades et toitures de la maison, le seuil, le canal de fuite et le réseau hydraulique situés au lieudit Moulin de Fontfroide, tels que figurés en rouge sur le plan annexé à l'arrêté (cad. A 911 et 912) : inscription par arrêté du 14 août 2019;;;;Tour-choeur romano-gothique. Nouvelle nef élevée en 1681, agrandie en 1878.;;;Anciennement région de : Alsace;PA00135155;mediatheque.patrimoine@culture.gouv.fr;7.41522313981269;48.9122117167189;48.9122117167189,7.41522313981269
Benfeld;67;2022-07-20;67028;Grand Est;Bas-Rhin;Benfeld;Site archéologique;;;1976/07/16 : inscrit MH;Façade et toiture sur rue (cad. DN 337) : inscription par arrêté du 25 novembre 1946;;;;;;;Anciennement région de : Alsace;PA00084609;mediatheque.patrimoine@culture.gouv.fr;7.61392909966049;48.3690259538533;48.3690259538533,7.61392909966049
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Ancien bâtiment ministériel (est) , Préfecture du Bas-Rhin;5 place de la République;1er quart 20e siècle;1996/09/05 : inscrit MH partiellement;Porte cochère, ses vantaux compris : inscription par arrêté du 12 avril 1944;Levy Ludwig (architecte);;;Construits côte à côte à dix ans d'intervalle (1902 et 1911) sur les plans de l'architecte Ludwig Levy, les deux anciens bâtiments ministériels étaient destinés à abriter différents services de l'administration du Reichsland d'Alsace-Lorraine jusque-là dispersés. A la différence des trois autres bâtiments officiels bordant l'ancienne Kaiserplatz, on a opté ici pour un style néo-baroque et un programme iconographique sculpté réduit à sa plus sobre expression dans les avant-corps centraux : allégories de la muse Clio et de la Justice. La plus grande partie des décors intérieurs d'origine a été préservée, notamment les entrées monumentales, les escaliers et de rares pièces d'apparat.;domaines;République (place de la) 5;Anciennement région de : Alsace;PA67000011;mediatheque.patrimoine@culture.gouv.fr;7.7548119285259;48.5880666319272;48.5880666319272,7.7548119285259
Westhouse-Marmoutier;67;2022-07-20;67527;Grand Est;Bas-Rhin;Westhouse-Marmoutier;Banc-reposoir napoléonien;C.D. 68;19e siècle;1988/05/09 : inscrit MH;"Les façades et toitures ; l'escalier à balustres en bois ; les deux pièces avec boiseries au rez-de-chaussée ; les restes de peintures murales de la pièce du premier étage (cad. H 23) : inscription par arrêté du 7 mai 1969 - Les douves ; les trois ponts dormants ; les bassins de retenue et leur système de vannes (H 24, 25, 42) ; le mur de clôture ; le portail avec sa grille (cad. H 22, 24, 25, 41, 42) : inscription par arrêté du 22 décembre 1988 - Les quatre corps de logis constituant les dépendances du château (cad. H 160, 161, 212) : inscription par arrêté du 25 mai 2007";;;;Ce banc a été commandité par le Préfet du Bas-Rhin.;;C.D. 68;Anciennement région de : Alsace;PA00085233;mediatheque.patrimoine@culture.gouv.fr;7.42767083591161;48.6825655283078;48.6825655283078,7.42767083591161
Boersch;67;2022-07-20;67052;Grand Est;Bas-Rhin;Boersch;Puits Renaissance situé dans la cour de la maison;, anciennement Krummengasse ( ) 35 rue Sainte-Odile;3e quart 16e siècle;1930/01/06 : inscrit MH;Eglise : inscription par arrêté du 25 janvier 1929;;;;;;"Sainte-Odile (rue) 20-22 ; anciennement Krummengasse () 35";Anciennement région de : Alsace;PA00084635;mediatheque.patrimoine@culture.gouv.fr;7.43954660775206;48.4789921618261;48.4789921618261,7.43954660775206
Neuwiller-lès-Saverne;67;2022-07-20;67322;Grand Est;Bas-Rhin;Neuwiller-lès-Saverne;Mairie;7 rue du Général Koenig;2e moitié 18e siècle;1938/01/20 : inscrit MH;Eglise Saint-Valérien : classement par arrêté du 13 avril 1907;;;;;;Général Koenig (rue du) 7;Anciennement région de : Alsace;PA00084824;mediatheque.patrimoine@culture.gouv.fr;7.40517183480987;48.824240744369;48.824240744369,7.40517183480987
Niedernai;67;2022-07-20;67329;Grand Est;Bas-Rhin;Niedernai;Le Glockenturm et les deux tours de défense est et ouest;;"13e siècle;17e siècle";1986/07/09 : inscrit MH;Eglise (cad. B 21) : inscription par arrêté du 24 février 1926;;;;Partie de la ceinture de fortifications. Le Glockenturm a servi de clocher pendant plus de deux siècles, d'où son nom.;;;Anciennement région de : Alsace;PA00084833;mediatheque.patrimoine@culture.gouv.fr;7.51733651565241;48.4521035401591;48.4521035401591,7.51733651565241
Froeschwiller;67;2022-07-20;67147;Grand Est;Bas-Rhin;Froeschwiller;Monument funéraire de la famille Strauss-Durckheim;;;2020/11/03 : inscrit MH;Logis (cad. D 41) : inscription par arrêté du 2 mars 1993;;;;;;;;PA67000107;mediatheque.patrimoine@culture.gouv.fr;7.721920596355836;48.94226981542303;48.94226981542303,7.721920596355836
Petite-Pierre (La);67;2022-07-20;67371;Grand Est;Bas-Rhin;La Petite-Pierre;Eglise mixte de l'Assomption;place du Château;"1er quart 15e siècle;17e siècle;18e siècle;19e siècle";"1934/04/21 : inscrit MH ; 1969/05/05 : classé MH";Chapelle troglodyte (cad. AT 505) : inscription par arrêté du 16 mai 1972;;;;Choeur avec ses peintures murales : 1er quart 15e siècle, 19e siècle. Monuments funéraires : 17e siècle, 18e siècle.;;Château (place du);Anciennement région de : Alsace;PA00084890;mediatheque.patrimoine@culture.gouv.fr;7.31559528212873;48.8569282124002;48.8569282124002,7.31559528212873
Wangenbourg-Engenthal;67;2022-02-21;67122;Grand Est;Bas-Rhin;Wangenbourg-Engenthal;Ancien monastère d'Obersteigen;rue de l'Eglise;1er quart 13e siècle;"1862 : classé MH ; 1983/03/21 : inscrit MH";Eglise : classement par arrêté du 20 février 1907;;;;Fondé par l'abbesse d'Andlau, Hedwige.;;Eglise (rue de l');Anciennement région de : Alsace;PA00085213;mediatheque.patrimoine@culture.gouv.fr;7.30616643486998;48.6423131196631;48.6423131196631,7.30616643486998
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Maison des Tanneurs;42 rue Bain-aux-Plantes;;1927/03/07 : classé MH;Tour de la Sergenterie (cad. AR 560) : classement par arrêté du 18 novembre 1985;;;;;;Bain-aux-Plantes (rue) 42;Anciennement région de : Alsace;PA00085082;mediatheque.patrimoine@culture.gouv.fr;7.74180690149643;48.5814237423958;48.5814237423958,7.74180690149643
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Ancienne Maison Baer;3 rue du Bouclier;3e quart 18e siècle;1929/06/13 : inscrit MH;Choeur et abside : classement par arrêté du 2 juin 1915;;;;;;Bouclier (rue du) 3;Anciennement région de : Alsace;PA00085092;mediatheque.patrimoine@culture.gouv.fr;7.74384615830065;48.5808129222618;48.5808129222618,7.74384615830065
Ebersheim;67;2022-02-21;67115;Grand Est;Bas-Rhin;Ebersheim;Eglise Saint-Martin;;3e quart 18e siècle;1984/10/08 : inscrit MH;Eglise Saint-Just : classement par liste de 1840;;;;;;;Anciennement région de : Alsace;PA00084700;mediatheque.patrimoine@culture.gouv.fr;7.50368862303089;48.3038464950619;48.3038464950619,7.50368862303089
Saverne;67;2022-02-21;67437;Grand Est;Bas-Rhin;Saverne;Ancien couvent des Récollets et église Saint-Antoine-de-Padoue;rue Poincaré;"1ère moitié 14e siècle;15e siècle";"1900/07/03 : classé MH ; 1990/10/30 : inscrit MH ; 1993/02/11 : classé MH";Rempart externe (cad. F 548, 491, 493, 1300, 1825, 490, 553, 558, 559, 1148, 1181, 1239) : inscription par arrêté du 14 août 1985;;;;Retable de 1736. Buffet d'orgues de 1703 dont la partie instrumentale renferme 32 feuillets de parchemins du début du 14e siècle. Peintures murales dans le cloître.;;Poincaré (rue);Anciennement région de : Alsace;PA00084955;mediatheque.patrimoine@culture.gouv.fr;;;
Neuwiller-lès-Saverne;67;2022-02-21;67322;Grand Est;Bas-Rhin;Neuwiller-lès-Saverne;Eglise Saint-Adelphe;;;"1862 : classé MH ; 1989/10/18 : inscrit MH";Menhir du Croc (cad. ZC 10) : inscription par arrêté du 17 juillet 1991;;;;;;;Anciennement région de : Alsace;PA00084821;mediatheque.patrimoine@culture.gouv.fr;;;
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;8 place du Marché-aux-Cochons-de-lait;"16e siècle;18e siècle";1931/05/15 : classé MH;Croix de chemin (deux) (cad. A 296, 363) : classement par arrêté du 18 mars 1986;;;;;;Marché-aux-Cochons-de-lait (place du) 8;Anciennement région de : Alsace;PA00085136;mediatheque.patrimoine@culture.gouv.fr;7.75123822199408;48.5805056918942;48.5805056918942,7.75123822199408
Hochfelden;67;2022-07-20;67202;Grand Est;Bas-Rhin;Hochfelden;Synagogue, ancienne école juive et maison du rabbin;10, 12 place du Général-Koenig;2e quart 19e siècle;1996/04/10 : inscrit MH partiellement;Abri avec ses parois décorées (cad. C 738) : inscription par arrêté du 7 avril 1992;;;;L'actuelle synagogue a été construite en remplacement d'un sanctuaire existant alors depuis plus de deux siècles.;;Général-Koenig (place du) 10, 12;Anciennement région de : Alsace;PA67000004;mediatheque.patrimoine@culture.gouv.fr;7.56883927252559;48.7577130603115;48.7577130603115,7.56883927252559
Erstein;67;2022-07-20;67130;Grand Est;Bas-Rhin;Erstein;Banc-reposoir dit Banc du Roi de Rome;R.N. 83;1er quart 19e siècle;1982/10/20 : inscrit MH;Façades et toitures sur la place avec retour sur les rues du Maréchal-Lyautey et de la Madeleine (cad. A 27) : inscription par arrêté du 18 août 1953;;;;Ce banc a été commandité par le Préfet.;;R.N. 83;Anciennement région de : Alsace;PA00084706;mediatheque.patrimoine@culture.gouv.fr;7.64642261345881;48.4332919843557;48.4332919843557,7.64642261345881
Schillersdorf;67;2022-07-20;67446;Grand Est;Bas-Rhin;Schillersdorf;Banc-reposoir napoléonien;C.D. 105;3e quart 19e siècle;1988/05/09 : inscrit MH;"Façades et toitures ; escalier avec sa rampe en bois ; portail donnant sur la rue. (cad. AC 153) : inscription par arrêté du 19 septembre 1988";;;;Ce banc a été commandité par le Préfet.;;C.D. 105;Anciennement région de : Alsace;PA00084975;mediatheque.patrimoine@culture.gouv.fr;7.51583874920539;48.8738400084751;48.8738400084751,7.51583874920539
Lampertsloch;67;2022-07-20;67257;Grand Est;Bas-Rhin;Lampertsloch;Ferme-château Le Bel;1, 2 rue du Château-Le-Bel;1er quart 19e siècle;2008/01/30 : inscrit MH;Parties subsistantes de la chapelle (cad. B 783) : inscription par arrêté du 22 décembre 1987;;;;"Ferme édifiée en 1805 à un emplacement où s'élevaient déjà des bâtiments avant la Révolution. Antoine Le Bel, capitoul, achète les terrains qui renferment des sables bitumineux. Durant plus d'un siècle, les Le Bel développent la mine tout en résidant dans une ferme château reconstruite à partir de 1805. Dans son état actuel, il ne subsiste aucun bâtiment antérieur au 19e siècle. L'ancienne exploitation comporte une grande demeure de plan carré avec logement connexe ; une maison en pan de bois qui serait l'ancien laboratoire d'Achille Le Bel, édifié en 1813 ; un ensemble de trois bâtiments agricoles qui furent élevés à partir de 1821 puis agrandis entre 1832 et 1835. Un style régionaliste prévaut pour chacun des bâtiments. Dans la seconde moitié du 19e siècle, la ferme-château et l'exploitation pétrolière connaissent une période de grande prospérité. Projet original et précurseur, tout à la fois exploitation agricole, berceau de l'étude et de l'exploitation du pétrole, lieu de naissance de la chimie agricole, station agronomique expérimentale, la ferme château Le Bel est l'un des derniers témoignages architecturaux d'une exceptionnelle aventure scientifique et industrielle alsacienne qui dépasse, par ses implications et ses conséquences, les limites régionales.";;Château-Le-Bel (rue du) 1, 2;Anciennement région de : Alsace;PA67000075;mediatheque.patrimoine@culture.gouv.fr;7.83062994084634;48.9449408356054;48.9449408356054,7.83062994084634
Gresswiller;67;2022-07-20;67168;Grand Est;Bas-Rhin;Gresswiller;Etablissement régional du matériel de l'armée;;;1929/10/12 : inscrit MH;Château (restes) : inscription par arrêté du 23 juin 1933;;;;;;;Anciennement région de : Alsace;PA00084721;mediatheque.patrimoine@culture.gouv.fr;7.42342129780199;48.5327979506362;48.5327979506362,7.42342129780199
Hangenbieten;67;2022-07-20;67182;Grand Est;Bas-Rhin;Hangenbieten;Eglise protestante;rue des Eglises;"2e moitié 12e siècle;1ère moitié 13e siècle;15e siècle;19e siècle";1976/07/15 : inscrit MH;Les maisons sises 2 et 4, rue du Cloître-Notre-Dame, en totalité (cad. AB 64) : inscription par arrêté du 16 juin 2005 - La maison sise 6, rue du Cloître Notre-Dame, en totalité (cad. AB 64) : classement par arrêté du 8 octobre 2007;;;;;;Eglises (rue des);Anciennement région de : Alsace;PA00084742;mediatheque.patrimoine@culture.gouv.fr;7.61233343682071;48.5571945392113;48.5571945392113,7.61233343682071
Altorf;67;2022-07-20;67008;Grand Est;Bas-Rhin;Altorf;Structure funéraire;;Age du fer;1930/05/20 : classé MH;"Façade sur la place et retour sur la rue ; façade sur la cour ; toitures correspondantes et souches de cheminées (cad. B 861, 862) : classement par arrêté du 24 novembre 1959";;;;;;;Anciennement région de : Alsace;PA00084583;mediatheque.patrimoine@culture.gouv.fr;;;
Scherwiller;67;2022-07-20;67445;Grand Est;Bas-Rhin;Scherwiller;Pont numéro 1;;18e siècle;1993/11/18 : inscrit MH;Fontaine Sainte-Julitte (cad. E 148) : inscription par arrêté du 20 mars 1934;;;;;;;Anciennement région de : Alsace;PA00125222;mediatheque.patrimoine@culture.gouv.fr;975100.0;1377600.0;
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Immeuble;56 allée de la Robertsau;1er quart 20e siècle;1975/10/29 : inscrit MH;Eglise (cad. BL 190) : inscription par arrêté du 26 avril 1948;"Lütke Frantz (architecte);;Backes Heinrich (architecte)";;;Immeuble de rapport de style Art Nouveau, construit de 1902 à 1904 par les architectes Frantz Lütke et Heinrich Backes pour le maître boulanger Georges Cromer. L'édifice présente un riche décor végétal en façade : sculpture, céramique polychrome, ferronnerie.;;Robertsau (allée de la) 56;Anciennement région de : Alsace;PA00085156;mediatheque.patrimoine@culture.gouv.fr;7.76833469964403;48.5903574469999;48.5903574469999,7.76833469964403
Westhoffen;67;2022-07-20;67525;Grand Est;Bas-Rhin;Westhoffen;Vestiges des anciennes fortifications;;2e quart 14e siècle;"2000/02/25:inscrit MH;2015/11/16:inscrit MH;2017/03/29:classé MH";Hôtel (cad. DZ 37) : classement par arrêté du 7 août 1941;;;;"Le mur d'enceinte du 14e siècle, surélevé au 15e siècle, est encore bien conservé sur l'ensemble de son tracé, et doté de six tours : tour carrée nord-ouest (14e siècle, surélévation octogonale plus tardive) ; tour quadrangulaire nord ; tour de la synagogue (14e siècle, surélévation du 16e siècle) ; tour circulaire nord-est (15e siècle) ; tour est (14e siècle) ; staedelgloeckelturm et vestiges de la Badstubtor.";;;Anciennement région de : Alsace;PA00085225;mediatheque.patrimoine@culture.gouv.fr;7.44354424646498;48.6038620253527;48.6038620253527,7.44354424646498
Sélestat;67;2022-07-20;67462;Grand Est;Bas-Rhin;Sélestat;Tour des Sorcières;;"14e siècle;15e siècle";1929/06/18 : inscrit MH;Façade et toiture (cad. A 657) : inscription par arrêté du 3 juin 1932;;;;;;;Anciennement région de : Alsace;PA00085005;mediatheque.patrimoine@culture.gouv.fr;7.45809429300328;48.2597984146563;48.2597984146563,7.45809429300328
Haegen;67;2022-07-20;67179;Grand Est;Bas-Rhin;Haegen;Ruines du château du Petit-Geroldseck;;13e siècle;1898/12/06 : classé MH;Tour (cad. AW 155, 160) : inscription par arrêté du 19 février 1926;;;;;;;Anciennement région de : Alsace;PA00084723;mediatheque.patrimoine@culture.gouv.fr;7.33238154592185;48.7150337966908;48.7150337966908,7.33238154592185
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Immeuble;"29 rue des Frères ; 2 rue du Faisan";"16e siècle;18e siècle";1931/04/29 : inscrit MH;"Château proprement dit et ses deux ailes isolées ; poterne d'entrée soutènements du terre-plein et les quatre ponts qui y accèdent (cad. AH 77) : classement par arrêté du 29 juillet 1961. Parc délimité au nord par le mur de l'orangerie, à l'est par les parcelles 786, 880, 97, 85, 86 et 478, au sud par la route de Vannes (à l'exception du cimetière situé sur les parcelles 479 et 480) , à l'ouest par la route nationale 20, les douves (parcelles 73, 74, 489, 734, 756, 780, 781, 900 à 902) étant comprises intégralement (cad. AH 60, 64 à 66, 71 à 76, 78 à 89, 91, 92, 97, 463, 477, 478, 489, 734, 736 à 740, 743, 745, 756, 757, 780, 781, 786, 871 à 880, 897 à 905) : inscription par arrêté du 7 mars 1995";;;;;;"Frères (rue des) 29 ; Faisan (rue du) 2";Anciennement région de : Alsace;PA00085111;mediatheque.patrimoine@culture.gouv.fr;7.75361169690074;48.5831011481632;48.5831011481632,7.75361169690074
Neuwiller-lès-Saverne;67;2022-07-20;67322;Grand Est;Bas-Rhin;Neuwiller-lès-Saverne;Maison;1, anciennement Gare (rue de la) 201 rue du Général-Koenig;1er quart 17e siècle;1934/04/21 : inscrit MH;Façades y compris les vantaux de porte, couvertures du bâtiment sur rue qui dépend de l'hôtel : inscription par arrêté du 13 mars 1944;;;;;;Général-Koenig (rue du) 1, anciennement Gare (rue de la) 201;Anciennement région de : Alsace;PA00084825;mediatheque.patrimoine@culture.gouv.fr;7.40462254121817;48.8244654444895;48.8244654444895,7.40462254121817
Nothalten;67;2022-07-20;67337;Grand Est;Bas-Rhin;Nothalten;Fontaine datée de 1571;;"3e quart 16e siècle;4e quart 17e siècle";1931/04/29 : inscrit MH;Façades et toiture : inscription par arrêté du 11 juillet 1942;;;;;;;Anciennement région de : Alsace;PA00084837;mediatheque.patrimoine@culture.gouv.fr;7.42074312475037;48.35593346348;48.35593346348,7.42074312475037
Dambach-la-Ville;67;2022-07-20;67084;Grand Est;Bas-Rhin;Dambach-la-Ville;Maison;8, anciennement 186 place du Marché;"3e quart 16e siècle;3e quart 17e siècle";1930/01/06 : inscrit MH;Villa Anne-Marie (cad. AL 193) : inscription par arrêté du 21 août 1989;;;;;;Marché (place du) 8, anciennement 186;Anciennement région de : Alsace;PA00084683;mediatheque.patrimoine@culture.gouv.fr;7.42486555044988;48.3237045074442;48.3237045074442,7.42486555044988
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Immeuble;4 quai Saint-Thomas;1ère moitié 18e siècle;1988/05/09 : inscrit MH;Façades et toitures (cad. E 91) : inscription par arrêté du 30 octobre 1973;;;;;;Saint-Thomas (quai) 4;Anciennement région de : Alsace;PA00085170;mediatheque.patrimoine@culture.gouv.fr;7.7472969013706;48.5790204008284;48.5790204008284,7.7472969013706
Sélestat;67;2022-07-20;67462;Grand Est;Bas-Rhin;Sélestat;Hôtel de Chanlas;1 rue des Franciscains;18e siècle;"1983/03/21 : classé MH ; 1983/03/21 : inscrit MH";Amphithéâtre (restes d'un) : classement par arrêté du 20 mars 1936;;;;;;Franciscains (rue des) 1;Anciennement région de : Alsace;PA00084984;mediatheque.patrimoine@culture.gouv.fr;7.45277372460825;48.2605808813566;48.2605808813566,7.45277372460825
Strasbourg;67;2022-02-21;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;24 quai Saint-Nicolas;17e siècle;1929/06/18 : inscrit MH;Eglise : inscription par arrêté du 18 mars 1927;;;;;;Saint-Nicolas (quai) 24;Anciennement région de : Alsace;PA00085169;mediatheque.patrimoine@culture.gouv.fr;;;
Strasbourg;67;2022-03-28;67482;Grand Est;Bas-Rhin;Strasbourg;Hôtel de ville, ancien Hôtel de Hanau;"place Broglie ; rue Brûlée";1ère moitié 18e siècle;1921/06/20 : classé MH;Clocher : inscription par arrêté du 7 août 1935;Massol Joseph (architecte);;;;;"Broglie (place) ; Brûlée (rue)";Anciennement région de : Alsace;PA00085061;mediatheque.patrimoine@culture.gouv.fr;7.75033045803942;48.5846610188455;48.5846610188455,7.75033045803942
Ebersmunster;67;2022-02-21;67116;Grand Est;Bas-Rhin;Ebersmunster;Ancienne église abbatiale Saint-Maurice;;"12e siècle;17e siècle;2e quart 18e siècle";1898/12/06 : classé MH;"Façades et toitures ; structure métallique (cad. BO 437) : inscription par arrêté du 30 mai 2000";THUMB Peter (architecte);;;Ancienne église des pères bénédictins, de style italien. Elle a subi des dommages de guerre (destruction des vitraux). Orgues Silbermann.;;;Anciennement région de : Alsace;PA00084701;mediatheque.patrimoine@culture.gouv.fr;7.52705799055338;48.3109747325609;48.3109747325609,7.52705799055338
Molsheim;67;2022-07-20;67300;Grand Est;Bas-Rhin;Molsheim;Maison;9, anciennement 20 rue de Strasbourg;1er quart 17e siècle;1929/06/18 : inscrit MH;Les façades (cad. YM 8) : inscription par arrêté du 28 août 1988;;;;;;Strasbourg (rue de) 9, anciennement 20;Anciennement région de : Alsace;PA00084804;mediatheque.patrimoine@culture.gouv.fr;7.49213213600896;48.5409519793178;48.5409519793178,7.49213213600896
Sélestat;67;2022-07-20;67462;Grand Est;Bas-Rhin;Sélestat;Maison;6 place d'Armes;3e quart 18e siècle;1934/04/21 : inscrit MH;Façade sur rue et grille de boutique (restaurant la Bouteille d'or) : inscription par arrêté du 23 mai 1984;;;;;;Armes (place d') 6;Anciennement région de : Alsace;PA00084988;mediatheque.patrimoine@culture.gouv.fr;7.454458296027;48.2593378333427;48.2593378333427,7.454458296027
Strasbourg;67;2022-07-20;67482;Grand Est;Bas-Rhin;Strasbourg;Maison;12 rue de l'Ail;1ère moitié 18e siècle;1929/06/13 : inscrit MH;"Façades et toitures de la maison, de l'ensemble des communs ; ancienne chapelle, située dans l'aile sud des communs ; grille fermant la cour d'honneur ; pavillon octogonal de la terrasse ; glacière et temple périptère qui la couronne ; ensemble du parc et des jardins, y compris les murs de clôture et les portails de ferronnerie : inscription par arrêté du 10 mars 1988";;;;;;Ail (rue de l') 12;Anciennement région de : Alsace;PA00085073;mediatheque.patrimoine@culture.gouv.fr;;;
Schwenheim;67;2022-07-20;67459;Grand Est;Bas-Rhin;Schwenheim;Eglise paroissiale Saints-Vincent-et-Anastase;;12e siècle;1996/04/10 : inscrit MH partiellement;Eglise (cad. ZK 21) : inscription par arrêté du 21 décembre 1984;;;;Clocher remontant au 12e siècle.;;;Anciennement région de : Alsace;PA67000006;mediatheque.patrimoine@culture.gouv.fr;;;
